Product ID,Open Comments,Product code,Supplier,Buyer Company,Status,Product Images,Product Name,Products Category & Family,Unit Wholesale Price (latest),Private- label Images,Request,Gross Weight,Units per carton,HS/ Tariff Code,MOQ (units),Product's Max temperature,# of Cartons (20ft),# of Cartons (40ft),Kosher?,# of Pallets (20ft),# of Pallets in (40ft),Link to Sampling Request,Buyer's Product code/ EAN,Total units (40ft.),Total units (20ft.),Unit of Measure,Net Weight,Supplier Country,Shelf Life (Days),Product's Min. temperature,Link to Proposal Line Items,Price Book,Product Title Field,Closest/ Prefered SeaPort,Currency for price,Incoterms (Price Base),Payment Terms,Price for Carton (wholesale),Supplier Product Code,Supplier's Description & Products,Unit Wholesale Price (Initial),Buyer's Product code/ EAN - old,First Created,Incoterms,Last Updated,Link to Proposals & Samples,Product Stage,Supplier's Website
000425 - Poyraz Olive oil -500ML [][Shufersal],0,000425,,Shufersal,Sourcing Stage,convert.jpg,Poyraz Olive oil -500ML,"Pantry Staples, Oils and Vinegars,Cooking Oils,Olive oil",4.72,,"EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal",500,12,,,,,12000,,,,,7296073677154,144000,0,gr.,500,,,,,000425 - Poyraz Olive oil -500ML [][Shufersal]__24/2/2025,000425 - Poyraz Olive oil -500ML [][Shufersal],,USD,,,56.64,,,4.72,,"By Operation Manager on 24 Feb, 2025 at 10:15 AM",FOB (Free On Board),"By Operation Manager on 24 Feb, 2025","EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal- Poyraz, Turkey",,
000448 - CRUSHED TOMATOES(Polpa) Tin 2650mlx6 VICTORIA PROPLUS [][],0,000448,,,Sourcing Stage,image.png,CRUSHED TOMATOES(Polpa) Tin 2650mlx6 VICTORIA PROPLUS,,2.65,,,2650,,,,,,,,,,,8000483300828,,,Litter,,,,,,000448 - CRUSHED TOMATOES(Polpa) Tin 2650mlx6 VICTORIA PROPLUS [][]__22/1/2025,000448 - CRUSHED TOMATOES(Polpa) Tin 2650mlx6 VICTORIA PROPLUS [][],,Euro,,,0.000,POLPP316VIPR,,2.65,,"By Success Management on 9 Apr, 2025 at 11:28 AM",FOB (Free On Board),"By Success Management on 9 Apr, 2025",,,
"000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]",0,000279,"Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey",ProPlus,Price Confirmed,Agi2xJwGt39Y7crITEkR.png,"Refined Sunflower Oil, 5 Litters.","Pantry Staples, Oils and Vinegars,Cooking Oils,Sunflower Oil",,,"sunflower oil in 5-liter PET bottles., ProPlus",445,4,,,,,1008,Yes - has Certificate,11,21,,,4032,0,gr.,445,Turkey,365,,"000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus] ()","000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]__10/12/2024","000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]","Port of Mersin, Turkey",ILS,,,0.000,,"
Abalı Yağ is a Turkish company specializing in the production of high-quality edible oils. With a commitment to excellence and customer satisfaction, the company has established itself as a reputable brand in the food industry. Abalı Yağ focuses on delivering products that meet the diverse needs of consumers, ensuring both quality and taste in their offerings.

The company's product range includes:

Sunflower Oil: A versatile cooking oil suitable for frying, baking, and salad dressings, known for its light taste and high vitamin E content.

Corn Oil: Ideal for high-temperature cooking methods, corn oil offers a neutral flavor and is a source of polyunsaturated fats.

Canola Oil: Recognized for its low saturated fat content, canola oil is perfect for sautéing and as an ingredient in various recipes.

Olive Oil: Abalı Yağ provides extra virgin and pure olive oils, rich in antioxidants and monounsaturated fats, enhancing the flavor of numerous dishes.

Each product is crafted with care, adhering to strict quality standards to ensure consumers receive nutritious and delicious options for their culinary needs


",,,"By Udi Stryk on 17 Oct, 2024 at 6:11 PM",DDP (Delivered Duty Paid),"By Udi Stryk on 22 Feb, 2025",,Non - Active,https://abaliyag.com/en/h/about
"000374 - org sweetcorn supersweet kernel no cutting size ARDO [Ardo, Belgium][Harduf - All Organics]",0,000374,"Ardo, Belgium",Harduf - All Organics,Sourcing Stage,5411361012727_fl1000101_ardo_bio_sweetcorn_supersweet_25kg_b.jpg,org sweetcorn supersweet kernel no cutting size ARDO,,,,"Organic frozen vegetables , Harduf - All Organics",0.8,10,,,,,,,,,,,0,0,gr.,,Belgium,,,,"000374 - org sweetcorn supersweet kernel no cutting size ARDO [Ardo, Belgium][Harduf - All Organics]__17/2/2025","000374 - org sweetcorn supersweet kernel no cutting size ARDO [Ardo, Belgium][Harduf - All Organics]","Zeebrugge, Belgium.",Euro,,OPEN ACCOUNT,0.000,,"
Ardo is a family-owned company specializing in supplying high-quality frozen vegetables, herbs, and fruits to a global market. With a workforce of approximately 4,000 employees, Ardo operates 17 production sites across 8 countries, distributing products to over 100 countries worldwide. The company generates a turnover exceeding 1.4 billion euros. Ardo's mission is to preserve nature's gifts in their purest form, achieved through an integrated network encompassing growing areas, production units, freezing facilities, packaging equipment, logistics, and stringent quality control measures. This comprehensive approach enables Ardo to respond swiftly to emerging trends and introduce innovative products to the market efficiently. 
ARDO


Frozen Vegetables: A diverse range of vegetables harvested at peak ripeness and frozen to maintain nutritional value and flavor.

Frozen Herbs: A selection of aromatic herbs, frozen to preserve their freshness and essential oils.

Frozen Fruits: Various fruits picked and frozen at optimal ripeness, suitable for multiple culinary applications.",,,"By Operation Manager on 17 Feb, 2025 at 11:50 AM",FOB (Free On Board),"By Udi Stryk on 22 Feb, 2025","Organic Frozen vegetables, Harduf - All Organics- Ardo, Belgium",In- Process,http://www.ardo.com
"000375 - sweetcorn supersweet kernel no cutting size [Ardo, Belgium][Harduf - All Organics]",0,000375,"Ardo, Belgium",Harduf - All Organics,Sourcing Stage,5411361212707_30002311_-_151625_ardo_sweet_corn_supersweet_2500g.jpg,sweetcorn supersweet kernel no cutting size,,,,"Organic Frozen vegetables, Harduf - All Organics",0.8,10,,,,,,,,,,,0,0,gr.,,Belgium,,,,,"000375 - sweetcorn supersweet kernel no cutting size [Ardo, Belgium][Harduf - All Organics]","Zeebrugge, Belgium.",,,OPEN ACCOUNT,0.000,,"
Ardo is a family-owned company specializing in supplying high-quality frozen vegetables, herbs, and fruits to a global market. With a workforce of approximately 4,000 employees, Ardo operates 17 production sites across 8 countries, distributing products to over 100 countries worldwide. The company generates a turnover exceeding 1.4 billion euros. Ardo's mission is to preserve nature's gifts in their purest form, achieved through an integrated network encompassing growing areas, production units, freezing facilities, packaging equipment, logistics, and stringent quality control measures. This comprehensive approach enables Ardo to respond swiftly to emerging trends and introduce innovative products to the market efficiently. 
ARDO


Frozen Vegetables: A diverse range of vegetables harvested at peak ripeness and frozen to maintain nutritional value and flavor.

Frozen Herbs: A selection of aromatic herbs, frozen to preserve their freshness and essential oils.

Frozen Fruits: Various fruits picked and frozen at optimal ripeness, suitable for multiple culinary applications.",,,"By Operation Manager on 17 Feb, 2025 at 11:51 AM",,"By Udi Stryk on 22 Feb, 2025",,In- Process,http://www.ardo.com
"000376 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]",0,000376,"Ardo, Belgium",Harduf - All Organics,Sourcing Stage,11777106.jpg," Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced",,1.31,,"Organic Frozen vegetables, Harduf - All Organics",0.8,10,,,,,,,,,,,0,0,gr.,,Belgium,,,,"000376 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]__17/2/2025","000376 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]","Zeebrugge, Belgium.",Euro,,OPEN ACCOUNT,13.100000000000001,,"
Ardo is a family-owned company specializing in supplying high-quality frozen vegetables, herbs, and fruits to a global market. With a workforce of approximately 4,000 employees, Ardo operates 17 production sites across 8 countries, distributing products to over 100 countries worldwide. The company generates a turnover exceeding 1.4 billion euros. Ardo's mission is to preserve nature's gifts in their purest form, achieved through an integrated network encompassing growing areas, production units, freezing facilities, packaging equipment, logistics, and stringent quality control measures. This comprehensive approach enables Ardo to respond swiftly to emerging trends and introduce innovative products to the market efficiently. 
ARDO


Frozen Vegetables: A diverse range of vegetables harvested at peak ripeness and frozen to maintain nutritional value and flavor.

Frozen Herbs: A selection of aromatic herbs, frozen to preserve their freshness and essential oils.

Frozen Fruits: Various fruits picked and frozen at optimal ripeness, suitable for multiple culinary applications.",1.31,,"By Operation Manager on 17 Feb, 2025 at 11:55 AM",FOB (Free On Board),"By Udi Stryk on 22 Feb, 2025","Organic Frozen vegetables, Harduf - All Organics- Ardo, Belgium",In- Process,http://www.ardo.com
"000377 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]",0,000377,"Ardo, Belgium",Harduf - All Organics,Sourcing Stage,11777106.jpg," Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced",,,,"Organic Frozen vegetables, Harduf - All Organics",0.6,10,,,,,,,,,,,0,0,gr.,,Belgium,,,,"000377 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]__17/2/2025","000377 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]","Zeebrugge, Belgium.",Euro,,OPEN ACCOUNT,0.000,,"
Ardo is a family-owned company specializing in supplying high-quality frozen vegetables, herbs, and fruits to a global market. With a workforce of approximately 4,000 employees, Ardo operates 17 production sites across 8 countries, distributing products to over 100 countries worldwide. The company generates a turnover exceeding 1.4 billion euros. Ardo's mission is to preserve nature's gifts in their purest form, achieved through an integrated network encompassing growing areas, production units, freezing facilities, packaging equipment, logistics, and stringent quality control measures. This comprehensive approach enables Ardo to respond swiftly to emerging trends and introduce innovative products to the market efficiently. 
ARDO


Frozen Vegetables: A diverse range of vegetables harvested at peak ripeness and frozen to maintain nutritional value and flavor.

Frozen Herbs: A selection of aromatic herbs, frozen to preserve their freshness and essential oils.

Frozen Fruits: Various fruits picked and frozen at optimal ripeness, suitable for multiple culinary applications.",,,"By Operation Manager on 17 Feb, 2025 at 11:56 AM",FOB (Free On Board),"By Udi Stryk on 22 Feb, 2025","Organic Frozen vegetables, Harduf - All Organics- Ardo, Belgium",In- Process,http://www.ardo.com
"000378 - sweetcorn supersweet kernel no cutting size [Ardo, Belgium][Harduf - All Organics]",0,000378,"Ardo, Belgium",Harduf - All Organics,Sourcing Stage,5411361212707_30002311_-_151625_ardo_sweet_corn_supersweet_2500g.jpg,sweetcorn supersweet kernel no cutting size,,,,"Organic frozen vegetables , Harduf - All Organics",0.6,10,,,,,,,,,,,0,0,gr.,,Belgium,,,,,"000378 - sweetcorn supersweet kernel no cutting size [Ardo, Belgium][Harduf - All Organics]","Zeebrugge, Belgium.",,,OPEN ACCOUNT,0.000,,"
Ardo is a family-owned company specializing in supplying high-quality frozen vegetables, herbs, and fruits to a global market. With a workforce of approximately 4,000 employees, Ardo operates 17 production sites across 8 countries, distributing products to over 100 countries worldwide. The company generates a turnover exceeding 1.4 billion euros. Ardo's mission is to preserve nature's gifts in their purest form, achieved through an integrated network encompassing growing areas, production units, freezing facilities, packaging equipment, logistics, and stringent quality control measures. This comprehensive approach enables Ardo to respond swiftly to emerging trends and introduce innovative products to the market efficiently. 
ARDO


Frozen Vegetables: A diverse range of vegetables harvested at peak ripeness and frozen to maintain nutritional value and flavor.

Frozen Herbs: A selection of aromatic herbs, frozen to preserve their freshness and essential oils.

Frozen Fruits: Various fruits picked and frozen at optimal ripeness, suitable for multiple culinary applications.",,,"By Operation Manager on 17 Feb, 2025 at 11:58 AM",,"By Udi Stryk on 22 Feb, 2025",,In- Process,http://www.ardo.com
"000379 -  Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
 [Ardo, Belgium][Harduf - All Organics]",0,000379,"Ardo, Belgium",Harduf - All Organics,Sourcing Stage,5411361014998_fl1001369_ardo_bio_summer_mix_600g_c.jpg," Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
",,,,"Organic frozen vegetables , Harduf - All Organics",0.6,10,,,,,,,,,,,0,0,gr.,,Belgium,,,,"000379 -  Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
 [Ardo, Belgium][Harduf - All Organics]__17/2/2025","000379 -  Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
 [Ardo, Belgium][Harduf - All Organics]","Zeebrugge, Belgium.",Euro,,OPEN ACCOUNT,0.000,,"
Ardo is a family-owned company specializing in supplying high-quality frozen vegetables, herbs, and fruits to a global market. With a workforce of approximately 4,000 employees, Ardo operates 17 production sites across 8 countries, distributing products to over 100 countries worldwide. The company generates a turnover exceeding 1.4 billion euros. Ardo's mission is to preserve nature's gifts in their purest form, achieved through an integrated network encompassing growing areas, production units, freezing facilities, packaging equipment, logistics, and stringent quality control measures. This comprehensive approach enables Ardo to respond swiftly to emerging trends and introduce innovative products to the market efficiently. 
ARDO


Frozen Vegetables: A diverse range of vegetables harvested at peak ripeness and frozen to maintain nutritional value and flavor.

Frozen Herbs: A selection of aromatic herbs, frozen to preserve their freshness and essential oils.

Frozen Fruits: Various fruits picked and frozen at optimal ripeness, suitable for multiple culinary applications.",,,"By Operation Manager on 17 Feb, 2025 at 12:05 PM",FOB (Free On Board),"By Udi Stryk on 22 Feb, 2025","Organic Frozen vegetables, Harduf - All Organics- Ardo, Belgium",In- Process,http://www.ardo.com
"000380 -  Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
 [Ardo, Belgium][Harduf - All Organics]",0,000380,"Ardo, Belgium",Harduf - All Organics,Sourcing Stage,5411361014998_fl1001369_ardo_bio_summer_mix_600g_c.jpg," Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
",,,,"Organic frozen vegetables , Harduf - All Organics",800,,,,,,,,,,,,,,gr.,,Belgium,,,,,"000380 -  Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
 [Ardo, Belgium][Harduf - All Organics]","Zeebrugge, Belgium.",,,OPEN ACCOUNT,,,"
Ardo is a family-owned company specializing in supplying high-quality frozen vegetables, herbs, and fruits to a global market. With a workforce of approximately 4,000 employees, Ardo operates 17 production sites across 8 countries, distributing products to over 100 countries worldwide. The company generates a turnover exceeding 1.4 billion euros. Ardo's mission is to preserve nature's gifts in their purest form, achieved through an integrated network encompassing growing areas, production units, freezing facilities, packaging equipment, logistics, and stringent quality control measures. This comprehensive approach enables Ardo to respond swiftly to emerging trends and introduce innovative products to the market efficiently. 
ARDO


Frozen Vegetables: A diverse range of vegetables harvested at peak ripeness and frozen to maintain nutritional value and flavor.

Frozen Herbs: A selection of aromatic herbs, frozen to preserve their freshness and essential oils.

Frozen Fruits: Various fruits picked and frozen at optimal ripeness, suitable for multiple culinary applications.",,,"By Operation Manager on 17 Feb, 2025 at 12:06 PM",,"By Udi Stryk on 22 Apr, 2025",,In- Process,http://www.ardo.com
